order_id,order_date,customer_id,product,category,quantity,price,region,revenue
501335,2023-04-12,C100394,Футболка,Одежда,1,971.57,Санкт-Петербург,971.57
502957,2023-09-26,C100295,Умные часы,Электроника,1,6608.09,Санкт-Петербург,6608.09
502238,2023-05-05,C100793,Набор кастрюль,Дом и сад,1,4420.54,Санкт-Петербург,4420.54
502883,2023-02-23,C100762,Куртка,Одежда,1,6563.95,Москва,6563.95
501063,2023-07-07,C100723,Постельное белье,Дом и сад,1,2396.7,Новосибирск,2396.7
503283,2023-12-23,C100609,Набор косметики,Красота,2,2407.55,Москва,4815.1
503248,2023-11-12,C100518,Футболка,Одежда,1,1029.83,Екатеринбург,1029.83
502557,2023-09-02,C100171,Крем для лица,Красота,1,1101.27,Москва,1101.27
502313,2023-02-22,C100275,Парфюм,Красота,2,4072.16,Екатеринбург,8144.32
500848,2023-03-02,C100285,Футболка,Одежда,2,0.0,Новосибирск,1689.62
502514,2023-03-15,C100096,Бутылка для воды,Спорт,2,601.14,Санкт-Петербург,1202.28
502605,2023-07-21,C100274,Смартфон-чехол,Электроника,1,854.56,Санкт-Петербург,854.56
502113,2023-07-18,C100546,Крем для лица,Красота,2,1288.91,Москва,2577.82
501616,2023-10-27,C100791,Куртка,Одежда,1,7692.05,Москва,7692.05
501085,2023-04-20,C100069,Коврик для йоги,Спорт,1,1383.16,Казань,1383.16
501599,2023-08-08,C100182,Шампунь,Красота,1,613.55,Санкт-Петербург,613.55
501708,2023-11-12,C100582,Bluetooth-колонка,Электроника,2,3332.45,Москва,6664.9
500475,2023-01-10,C100569,Постельное белье,Дом и сад,1,2048.27,Москва,2048.27
500088,2023-02-20,C100457,Настольная лампа,Дом и сад,1,1614.15,Новосибирск,1614.15
502881,2023-10-06,C100061,Кроссовки,Одежда,1,4754.05,Москва,4754.05
503274,2023-12-23,C100838,Bluetooth-колонка,Электроника,1,3061.12,Москва,3061.12
500980,2023-01-15,C100457,Бутылка для воды,Спорт,2,584.73,Екатеринбург,1169.46
501052,2023-05-25,C100305,Набор кастрюль,Дом и сад,1,4467.68,Москва,4467.68
502093,2023-11-15,C100294,Bluetooth-колонка,Электроника,1,3100.62,Екатеринбург,3100.62
502357,2023-01-29,C100402,Bluetooth-колонка,Электроника,1,3640.03,Санкт-Петербург,3640.03
500125,2023-08-09,C100350,Powerbank,Электроника,1,1641.36,Москва,1641.36
503412,2023-12-13,C100828,Умные часы,Электроника,1,7281.89,Екатеринбург,7281.89
502956,2023-11-08,C100842,Bluetooth-колонка,Электроника,2,3387.42,Москва,6774.84
502927,2023-10-31,C100001,Гантели,Спорт,2,2256.99,Санкт-Петербург,4513.98
502389,2023-12-22,C100625,Гантели,Спорт,2,2309.68,Санкт-Петербург,4619.36
500195,2023-11-16,C100639,Bluetooth-колонка,Электроника,1,3149.34,Санкт-Петербург,3149.34
501611,2023-03-10,C100566,Плед,Дом и сад,2,1714.3,Москва,3428.6
501850,2023-07-22,C100514,Шапка,Одежда,1,646.56,Москва,646.56
501998,2023-12-26,C100117,Крем для лица,Красота,1,1322.43,Москва,1322.43
502757,2023-01-07,C100078,Наушники,Электроника,1,2338.14,Екатеринбург,2338.14
500890,2023-09-29,C100374,Парфюм,Красота,1,4133.62,Санкт-Петербург,4133.62
500930,2023-11-17,C100815,Органайзер,Дом и сад,1,899.81,Казань,899.81
502854,2023-12-13,C100757,Бутылка для воды,Спорт,1,648.84,Новосибирск,648.84
503206,2023-11-03,C100655,Постельное белье,Дом и сад,1,2344.65,Москва,2344.65
502456,2023-02-17,C100334,Бутылка для воды,Спорт,1,568.68,Казань,568.68
500515,2023-01-12,C100702,Джинсы,Одежда,1,3679.11,Москва,3679.11
502278,2023-02-21,C100390,Плед,Дом и сад,2,1722.31,Санкт-Петербург,3444.62
502549,2023-06-12,C100655,Постельное белье,Дом и сад,1,2127.19,Москва,2127.19
